rating_id,user_id,food_id,food_code,rating,User_ID,Food_ID
654,135,321,11320200,5,120,2
655,135,117,27415140,4,120,38
656,135,291,75439500,5,120,121
657,135,399,73105000,1,120,109
658,136,95,27213010,4,121,30
659,136,115,27363100,4,121,37
660,136,73,26315190,1,121,25
661,136,62,26303160,2,121,24
662,136,458,94220215,5,121,135
663,136,443,92582100,3,121,131
664,137,358,11519205,5,122,16
665,137,189,41812400,4,122,67
666,137,265,71803010,4,122,103
667,137,109,27350070,2,122,35
668,137,123,27450030,3,122,43
669,137,471,95110020,3,122,137
670,138,409,78101118,4,123,125
671,138,471,95110020,4,123,137
672,138,147,27550720,5,123,49
673,138,149,27550800,5,123,50
674,138,214,58160000,2,123,81
675,138,183,41311020,1,123,64
676,139,198,58150520,5,124,73
677,139,197,58150100,4,124,72
678,139,212,58156110,3,124,80
679,139,237,58200250,2,124,86
680,139,147,27550720,2,124,49
681,139,332,11511300,4,124,12
682,140,291,75439500,5,125,121
683,140,282,75403200,3,125,117
684,140,182,41221020,2,125,63
685,140,432,92550360,3,125,128
686,140,380,64104010,4,125,92
687,141,97,27250020,5,126,32
688,141,62,26303160,4,126,24
689,141,73,26315190,3,126,25
690,141,184,41311030,1,126,65
691,141,182,41221020,1,126,63
692,142,204,58151220,4,127,78
693,142,203,58151210,5,127,77
694,142,326,11350010,3,127,5
695,142,13,11435100,4,127,10
696,143,263,71704000,5,128,101
697,143,265,71803010,4,128,103
699,143,302,11111160,4,128,0
700,143,385,64124020,2,128,95
701,144,13,11435100,4,129,10
702,144,281,75403020,4,129,116
703,144,282,75403200,4,129,117
